"symbol","nimi","sektor","hind","tootlus","kogus","kasum_aktsia_kohta","dividend_aktsia_kohta"
"A","Agilent Technologies","Health Care",141.12,-0.47252855,762584,3.94,0.776
"AAL","American Airlines Group","Industrials",16.45,-0.72419393,37438099,-3.095,0
"AAP","Advance Auto Parts","Consumer Discretionary",226.99,-2.365693,680389,9.819,2.5
"AAPL","Apple","Information Technology",172.39,-0.16793682,82465400,6.015,0.865
"ABBV","AbbVie","Health Care",140.65,-0.056847744,5921902,6.45,5.31
"ABC","AmerisourceBergen","Health Care",136.61,-0.9210939,1271023,7.712,1.78
"ABMD","Abiomed","Health Care",295.65,1.765801,228773,2.909,0
"ABT","Abbott","Health Care",129.71,-0.3074275,3980623,3.94,1.82
"ACN","Accenture","Information Technology",347.5,0.56432134,1772484,9.613,3.7
"ADBE","Adobe","Information Technology",513.54,0.5305075,2583714,10.02,0
"ADI","Analog Devices","Information Technology",161.03,-0.61103904,5174417,3.46,2.76
"ADM","ADM","Consumer Staples",75.71,0.052862316,2343936,4.786,1.48
"ADP","ADP","Information Technology",206.25,0.54599285,1999277,6.46,3.83
"ADSK","Autodesk","Information Technology",241.24,1.4636655,1458394,5.928,0
"AEE","Ameren","Utilities",86.88,-1.2839506,786516,3.837,2.165
"AEP","American Electric Power","Utilities",89.17,-1.1309505,3439583,4.762,2.96
"AES","AES","Utilities",21.91,0.6893365,5767257,0.769,0.595
"AFL","Aflac","Financials",64.69,1.4745136,3458376,6.39,1.32
"AIG","AIG","Financials",60.99,2.5214322,3867261,6.377,1.28
"AIZ","Assurant","Financials",153.07,0.83663,471776,22.637,2.64
"AJG","Arthur J. Gallagher & Co.","Financials",156.28,1.1848507,555333,4.37,1.92
"AKAM","Akamai","Information Technology",114.12,-0.40146542,1089492,3.641,0
"ALB","Albemarle","Materials",216.02,0.44639018,631727,1.866,1.555
"ALGN","Align","Health Care",489.86,-2.6723118,1471445,9.69,0
"ALK","Alaska Air Group","Industrials",53.49,0.4695717,1266200,3.77,0
"ALL","Allstate","Financials",122.12,0.36985666,2405159,4.967,0
"ALLE","Allegion","Industrials",119.25,2.7043316,1282485,5.086,1.4
"AMAT","Applied Materials","Information Technology",135.57,-0.6885849,8230642,6.4,0.94
"AMCR","Amcor","Materials",11.56,-1.7006787,9674061,0.617,0.475
"AMD","AMD","Information Technology",123.6,2.9313762,86212008,2.57,0
"AME","Ametek","Industrials",134.49,-2.726739,968851,4.25,0.8
"AMGN","Amgen","Health Care",222.11,-0.8614501,2967480,9.701,6.88
"AMP","Ameriprise Financial","Financials",308.1,1.2654088,756489,18.396,4.34
"AMT","American Tower","Real Estate",246.43,-1.7032328,1212332,5.507,5.03
"AMZN","Amazon","Consumer Discretionary",3152.79,13.535913,12672793,64.81,0
"ANET","Arista","Information Technology",122.32,0.081818424,1631438,2.463,0
"ANSS","Ansys","Information Technology",326.79,0.52603114,417576,5.318,0
"ANTM","Anthem","Health Care",446.26,-1.2240198,927625,24.73,4.52
"AON","Aon","Financials",291.31,5.356238,2110057,5.55,0
"AOS","A. O. Smith","Industrials",73.58,-0.6883446,911980,3.019,1.06
"APA","APA Corporation","Energy",34.49,-0.14475748,10324851,1.564,0.138
"APD","Air Products","Materials",263.08,-6.337232,2672422,9.79,4.5
"APH","Amphenol","Information Technology",78.76,-0.3920546,1787347,2.544,0.635
"APTV","Aptiv","Consumer Discretionary",132.2,0.25784644,2595843,2.941,0
"ARE","Alexandria Real Estate Equities","Real Estate",190.61,-0.61525244,792492,3.82,4.48
"ATO","Atmos Energy","Utilities",105.76,-0.95523196,884138,5.12,2.5
"ATVI","Activision Blizzard","Communication Services",79.25,0.3799912,13259076,3.44,0.47
"AVB","AvalonBay Communities","Real Estate",247.3,-1.1630244,631932,7.19,6.36
"AVGO","Broadcom","Information Technology",590.16,1.6028231,2054844,15,14.9
"AVY","Avery Dennison","Materials",189.31,-1.977946,1018491,8.907,2.6
"AWK","American Water","Utilities",155.5,-1.276106,850136,4.198,2.305
"AXP","American Express","Financials",185.85,0.98348886,4000128,10.02,1.72
"AZO","AutoZone","Consumer Discretionary",2018.7,-0.5649819,174028,102.569,0
"BA","Boeing","Industrials",206.45,0.029069994,5946678,-7.15,0
"BAC","Bank of America","Financials",48.28,3.9844892,57470377,3.57,0.78
"BAX","Baxter","Health Care",86.71,0.7084792,3119337,2.376,1.05
"BBWI","Bath & Body Works","Consumer Discretionary",56.13,0.8444147,4220848,5.741,0.3
"BBY","Best Buy","Consumer Discretionary",96.83,-0.2780604,2061327,10.343,2.8
"BDX","Becton Dickinson","Health Care",268.85,-0.63936013,1653639,5.758,3.36
"BEN","Franklin Resources","Financials",31.12,0.51680154,2273110,3.781,1.13
"BF-B","Brown–Forman","Consumer Staples",67.15,-1.3080531,863646,1.6,0.718
"BIIB","Biogen","Health Care",221.53,0.61770475,1265876,10.4,0
"BIO","Bio-Rad","Health Care",626.69,0.6084408,146175,220.476,0
"BK","BNY Mellon","Financials",61.81,1.7113723,4308344,4.14,1.3
"BKNG","Booking Holdings","Consumer Discretionary",2442.93,0.22194329,290693,9.25,0
"BKR","Baker Hughes","Energy",26.59,1.5660803,7529601,-0.27,0.72
