"SEMESTER","AINE_STR","UKSUS","AINEKOOD","AINE","arvestatud","mittearvestatud","A","B","C","D","E","F","mitteilmunud"
"K","GV","P1GI","P1GV.00.002","Statistilised meetodid geneetikas",12,0,0,0,0,0,0,0,0
"K","GV","P1GI","P1GV.00.003","Geneetiline ja genoomne epidemioloogia",7,0,0,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.00.022","Doktoriseminar",6,0,0,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.00.055","Sissejuhatus ajaloouurimisse ja ajalookirjutusse",34,0,0,0,0,0,0,0,5
"K","HV","HVAJ","FLAJ.00.056","Doktoriseminar",3,0,0,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.00.063","Eriala seminar",12,0,0,0,0,0,0,0,1
"K","HV","HVAJ","FLAJ.01.008","Sissejuhatus eesti ja seto rahvausundisse",0,0,2,3,0,0,0,0,1
"K","HV","HVAJ","FLAJ.01.060","Muinas-Eesti sõjandus",12,0,0,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.01.061","Teadusliku uurimistöö alused",0,0,3,1,0,0,0,0,1
"K","HV","HVAJ","FLAJ.01.096","Sissejuhatus materiaalse kultuuri uurimisse",0,0,6,3,3,0,0,0,1
"K","HV","HVAJ","FLAJ.01.104","Arheoloogia ja suuline traditsioon",0,0,3,0,0,0,1,0,2
"K","HV","HVAJ","FLAJ.01.126","Interdistsiplinaarne arheoloogia",0,0,3,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.01.137","Euroopa muinaskultuurid",0,0,10,20,13,3,3,1,5
"K","HV","HVAJ","FLAJ.01.140","Arheoloogiliste välitööde juhatamise metoodika ja praktika",3,0,0,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.01.141","Magistriseminar arheoloogias",1,0,0,0,0,0,0,0,2
"K","HV","HVAJ","FLAJ.01.142","Arheoloogiliste välitööde metoodika",11,0,0,0,0,0,0,0,1
"K","HV","HVAJ","FLAJ.01.145","Sissejuhatus osteoarheoloogiasse",10,0,0,0,0,0,0,0,1
"K","HV","HVAJ","FLAJ.01.159","Materjalide uurimise praktikum arheoloogias",6,0,0,0,0,0,0,0,1
"K","HV","HVAJ","FLAJ.02.054","Rahvastiku ja koha-ajaloo allikad",8,0,0,0,0,0,0,0,2
"K","HV","HVAJ","FLAJ.02.153","Allikad ja nende tõlgendamine (19.-20. sajand)",4,0,0,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.02.154","Poliitiline vägivald Eestis 1905 - 1960",0,0,19,12,3,3,0,0,0
