"SEMESTER","AINE_STR","UKSUS","AINEKOOD","AINE","toomaht_1","toomaht_2","toomaht_3","toomaht_4","toomaht_5","hinne_ainele_F","hinne_ainele_E","hinne_ainele_D","hinne_ainele_C","hinne_ainele_B","hinne_ainele_A","arvestatud","mittearvestatud","hinne_A","hinne_B","hinne_C","hinne_D","hinne_E","hinne_F","mitteilmunud"
"K","GV","P1GI","P1GV.00.002","Statistilised meetodid geneetikas",NA,2,5,NA,NA,NA,NA,1,2,3,1,12,0,0,0,0,0,0,0,0
"K","GV","P1GI","P1GV.00.003","Geneetiline ja genoomne epidemioloogia",NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,7,0,0,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.00.022","Doktoriseminar",NA,1,3,NA,NA,NA,NA,1,NA,2,1,6,0,0,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.00.055","Sissejuhatus ajaloouurimisse ja ajalookirjutusse",NA,3,15,1,NA,NA,NA,1,4,6,8,34,0,0,0,0,0,0,0,5
"K","HV","HVAJ","FLAJ.00.056","Doktoriseminar",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,3,0,0,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.00.063","Eriala seminar",2,NA,6,1,NA,NA,1,2,2,2,2,12,0,0,0,0,0,0,0,1
"K","HV","HVAJ","FLAJ.01.008","Sissejuhatus eesti ja seto rahvausundisse",NA,NA,6,NA,NA,NA,NA,NA,NA,2,4,0,0,2,3,0,0,0,0,1
"K","HV","HVAJ","FLAJ.01.060","Muinas-Eesti sõjandus",NA,1,7,NA,NA,NA,NA,NA,NA,1,7,12,0,0,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.01.061","Teadusliku uurimistöö alused",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,0,0,3,1,0,0,0,0,1
"K","HV","HVAJ","FLAJ.01.096","Sissejuhatus materiaalse kultuuri uurimisse",NA,NA,7,NA,NA,NA,NA,NA,NA,3,4,0,0,6,3,3,0,0,0,1
"K","HV","HVAJ","FLAJ.01.104","Arheoloogia ja suuline traditsioon",NA,NA,4,NA,NA,NA,NA,NA,NA,2,2,0,0,3,0,0,0,1,0,2
"K","HV","HVAJ","FLAJ.01.126","Interdistsiplinaarne arheoloogia",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,3,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.01.137","Euroopa muinaskultuurid",2,2,25,NA,NA,NA,NA,1,2,6,20,0,0,10,20,13,3,3,1,5
"K","HV","HVAJ","FLAJ.01.140","Arheoloogiliste välitööde juhatamise metoodika ja praktika",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,3,0,0,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.01.141","Magistriseminar arheoloogias",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,2
"K","HV","HVAJ","FLAJ.01.142","Arheoloogiliste välitööde metoodika",NA,1,3,NA,NA,NA,NA,NA,1,NA,3,11,0,0,0,0,0,0,0,1
"K","HV","HVAJ","FLAJ.01.145","Sissejuhatus osteoarheoloogiasse",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,8,10,0,0,0,0,0,0,0,1
"K","HV","HVAJ","FLAJ.01.159","Materjalide uurimise praktikum arheoloogias",NA,NA,5,NA,NA,NA,NA,NA,NA,1,4,6,0,0,0,0,0,0,0,1
"K","HV","HVAJ","FLAJ.02.054","Rahvastiku ja koha-ajaloo allikad",NA,1,3,1,NA,1,NA,NA,1,2,1,8,0,0,0,0,0,0,0,2
"K","HV","HVAJ","FLAJ.02.153","Allikad ja nende tõlgendamine (19.-20. sajand)",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,4,0,0,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.02.154","Poliitiline vägivald Eestis 1905 - 1960",NA,NA,23,3,2,NA,NA,NA,2,7,19,0,0,19,12,3,3,0,0,0
"K","HV","HVAJ","FLAJ.02.155","Allikaõpetuslik seminar Tartu Ülikooli ajaloost",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,0,0,0,0,0,1
"K","HV","HVAJ","FLAJ.02.159","Allikaõpetuse alused",NA,6,11,NA,NA,NA,1,2,2,7,5,0,0,9,9,3,0,0,0,6
"K","HV","HVAJ","FLAJ.03.013","Eesti agraarajalugu (maamajandus ja -ühiskond muinasajast 21. sajandi alguseni)",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.03.118","Eesti kultuuriajalugu",NA,NA,5,2,NA,NA,NA,NA,NA,NA,7,0,0,7,2,0,0,0,0,2
"K","HV","HVAJ","FLAJ.03.150","Eesti kooli ajalugu",NA,NA,10,NA,NA,NA,NA,NA,NA,2,8,0,0,14,2,1,0,0,0,0
"K","HV","HVAJ","FLAJ.03.158","Seminar Eesti ajaloost 17.-20.sajandil",NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,4,0,0,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.03.159","Ajaloo ja ühiskonnaõpetuse seminar",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,0,0,0,0
"K","HV","HVAJ","FLAJ.03.168","Eesti lähiajalugu",NA,NA,24,5,NA,NA,NA,NA,3,13,13,0,0,5,10,16,4,2,0,5
