SEMESTER,AINE_VK,AINE_INST,AINEKOOD,AINE,arvestatud,mittearvestatud,hinne_A,hinne_B,hinne_C,hinne_D,hinne_E,hinne_F,mitteilmunud
S,HV,HVAJ,FLAJ.00.022,Doktoriseminar,10,0,0,0,0,0,0,0,0
S,HV,HVAJ,FLAJ.00.045,Doktoritöö,7,0,0,0,0,0,0,0,0
S,HV,HVAJ,FLAJ.00.046,Magistritöö,9,0,0,0,0,0,0,0,0
S,HV,HVAJ,FLAJ.00.062,Ajaloo teoreetilis-metodoloogiline seminar,10,0,0,0,0,0,0,0,2
S,HV,HVAJ,FLAJ.00.064,Juhendaja seminar,10,0,0,0,0,0,0,0,0
S,HV,HVAJ,FLAJ.01.016,Eesti muinasaeg,0,0,11,8,1,0,0,0,1
S,HV,HVAJ,FLAJ.01.041,Skandinaavia maade pronksiaeg,0,0,2,3,2,0,0,0,1
S,HV,HVAJ,FLAJ.01.061,Teadusliku uurimistöö alused,7,0,0,0,0,0,0,0,0
S,HV,HVAJ,FLAJ.01.070,Skandinaavia maade kiviaeg,0,0,5,1,0,2,1,0,0
S,HV,HVAJ,FLAJ.01.071,Skandinaavia maade rauaaeg,0,0,6,1,1,1,0,0,0
S,HV,HVAJ,FLAJ.01.080,13.-18. sajandi kalmistud ja matmiskombed,0,0,5,5,0,3,0,0,0
S,HV,HVAJ,FLAJ.01.137,Euroopa muinaskultuurid,0,0,20,13,16,6,3,0,9
S,HV,HVAJ,FLAJ.01.141,Magistriseminar arheoloogias,5,0,0,0,0,0,0,0,0
S,HV,HVAJ,FLAJ.01.144,Laboratoorne arheoloogia,0,0,6,2,1,0,1,0,0
S,HV,HVAJ,FLAJ.01.154,Kesk- ja varauusaja arheoloogiline leiuaines Eestis,16,0,0,0,0,0,0,0,3
S,HV,HVAJ,FLAJ.01.157,Arheoloogia teooria,22,0,0,0,0,0,0,0,1
S,HV,HVAJ,FLAJ.01.161,Rauaaja arheoloogiline leiuaines Eestis,16,0,0,0,0,0,0,0,1
S,HV,HVAJ,FLAJ.02.014,Arhiivipraktika,10,0,0,0,0,0,0,0,3
S,HV,HVAJ,FLAJ.02.079,Arhivaalide säilitamine,0,0,8,1,0,0,0,0,0
S,HV,HVAJ,FLAJ.02.104,Sissejuhatus alkeemiasse,0,0,11,0,0,0,0,0,0
S,HV,HVAJ,FLAJ.02.153,Allikad ja nende tõlgendamine (19.-20. sajand),7,0,0,0,0,0,0,0,0
S,HV,HVAJ,FLAJ.02.157,Allikaõpetuse praktika: 20. sajandi allikad,0,0,6,1,2,1,0,0,2
S,HV,HVAJ,FLAJ.02.165,Allikad ja nende tõlgendamine (19.-20. sajand),5,0,0,0,0,0,0,0,0
S,HV,HVAJ,FLAJ.02.167,Arhiiviteooria,0,0,4,1,1,1,0,0,0
S,HV,HVAJ,FLAJ.02.168,Arhiivinduse alused,12,0,0,0,0,0,0,0,0
S,HV,HVAJ,FLAJ.03.009,Eesti ajaloo historiograafia,0,0,1,2,4,2,1,0,2
S,HV,HVAJ,FLAJ.03.021,Eesti kultuurilugu,35,2,0,0,0,0,0,0,4
S,HV,HVAJ,FLAJ.03.033,Eesti sõjaajalugu,0,0,0,2,2,1,1,0,1
S,HV,HVAJ,FLAJ.03.140,Ajaloo ja ühiskonnaõpetuse didaktika,0,0,3,3,2,0,0,0,1
S,HV,HVAJ,FLAJ.03.141,Ühiskonnaõpetuse korraldus koolis,0,0,7,1,2,2,0,0,0
S,HV,HVAJ,FLAJ.03.158,Seminar Eesti ajaloost 17.-20. sajandil,5,0,0,0,0,0,0,0,0
S,HV,HVAJ,FLAJ.03.167,Eesti uusima aja ajalugu,0,0,5,11,14,12,5,0,15
S,HV,HVAJ,FLAJ.03.180,Eesti varauusaja ajalugu 1550-1710,0,0,8,4,9,8,0,0,16
S,HV,HVAJ,FLAJ.03.182,Teadusliku uurimistöö alused,6,0,0,0,0,0,0,0,0
S,HV,HVAJ,FLAJ.03.192,Eriteenistuste ajalugu 20. sajandil,13,1,0,0,0,0,0,0,0
S,HV,HVAJ,FLAJ.03.195,Külma sõja lõpp ja Eesti iseseisvuse taastamine,0,0,1,2,4,0,0,0,4
S,HV,HVAJ,FLAJ.05.076,Teadusliku uurimistöö alused,7,0,0,0,0,0,0,0,1
S,HV,HVAJ,FLAJ.05.136,Eesti arhitektuur ja kunst keskajal,0,0,8,5,9,1,0,0,0
S,HV,HVAJ,FLAJ.05.137,Eesti kunst renessansist barokini,0,0,10,7,3,0,0,0,0
S,HV,HVAJ,FLAJ.05.139,Ikonograafia,0,0,6,4,0,0,0,0,1
S,HV,HVAJ,FLAJ.05.143,Kaasaegne kunstiteoreetiline mõte,11,1,0,0,0,0,0,0,2
S,HV,HVAJ,FLAJ.05.163,Pildi ees ja pildi sees. Eesti kunstiajaloo lähilugemine,14,0,0,0,0,0,0,0,1
S,HV,HVAJ,FLAJ.06.120,Diplomaatia põhimõisted ja ajalugu,0,0,4,4,6,3,0,3,0
S,HV,HVAJ,FLAJ.06.137,III Reich ja Teine maailmasõda,0,0,0,4,1,2,2,1,9
S,HV,HVAJ,FLAJ.06.152,Ajaloo imagoloogia,0,0,4,2,0,0,0,0,3
S,HV,HVAJ,FLAJ.07.002,Vanaaeg,0,0,5,5,6,9,2,3,10
S,HV,HVAJ,FLAJ.07.091,Tänapäevase ajalookirjutuse kujunemine,0,0,4,5,0,0,0,0,2
S,HV,HVAJ,FLAJ.07.198,Euroopa ideede ajalugu,0,0,12,11,17,9,7,11,19
S,HV,HVAJ,FLAJ.07.206,Kreeka religioon ja mütoloogia,0,0,4,3,6,11,0,0,5
S,HV,HVAJ,FLAJ.07.219,Teadusliku uurimistöö alused,6,0,0,0,0,0,0,0,0
S,HV,HVAJ,HVAJ.00.006,Doktoriseminar,5,0,0,0,0,0,0,0,0
S,HV,HVAJ,HVAJ.00.008,Sissejuhatus ajalookirjutusse,24,13,0,0,0,0,0,0,0
S,HV,HVAJ,HVAJ.02.001,Museoloogia,0,0,25,4,0,0,0,0,2
S,HV,HVAJ,HVAJ.03.004,Sissejuhatus Eesti ajalukku,0,0,6,12,13,1,1,0,2
S,HV,HVAJ,HVAJ.05.001,20. sajandi kunsti ajalugu I,0,0,2,7,3,1,1,0,2
S,HV,HVAJ,HVAJ.05.003,Üldine kunstiajalugu: antiikkunst,0,0,7,1,2,0,0,0,0
S,HV,HVAJ,HVAJ.05.005,Üldine kunstiajalugu: kunst barokist romantismini,0,0,3,4,2,0,0,0,1
S,HV,HVAJ,HVAJ.05.017,Kureerimise alused,10,1,0,0,0,0,0,0,0
S,HV,HVAJ,HVAJ.06.001,Teadusliku uurimistöö alused,8,0,0,0,0,0,0,0,4
S,HV,HVAJ,HVAJ.06.002,Filmiinterpretatsioon ajaloolastele,0,0,0,3,6,2,0,0,2
