SEMESTER,AINE_VK,AINE_INST,AINEKOOD,AINE,vaartus_0,vaartus_1,vaartus_2,vaartus_3,vaartus_4,toomaht_0,toomaht_1,toomaht_2,toomaht_3,hinne_A,hinne_B,hinne_C,hinne_D,hinne_E,hinne_F,arvestatud,mittearvestatud,mitteilmunud
S,HV,HVAJ,FLAJ.00.064,Juhendaja seminar,1,,,1,4,,,6,,,,,,,,6,,
S,HV,HVAJ,FLAJ.01.016,Eesti muinasaeg,2,,,4,5,1,,9,1,6,3,1,,,,,,1
S,HV,HVAJ,FLAJ.01.071,Skandinaavia maade rauaaeg,,,,,7,,,7,,5,,1,1,,,,,
S,HV,HVAJ,FLAJ.01.080,13.-18. sajandi kalmistud ja matmiskombed,,,,,9,,2,7,,5,3,,1,,,,,
S,HV,HVAJ,FLAJ.01.137,Euroopa muinaskultuurid,1,,1,6,22,1,,27,2,11,6,6,3,1,,,,3
S,HV,HVAJ,FLAJ.01.144,Laboratoorne arheoloogia,,,,1,4,,,5,,2,1,1,,1,,,,
S,HV,HVAJ,FLAJ.01.154,Kesk- ja varauusaja arheoloogiline leiuaines Eestis,,,,,9,,,9,,,,,,,,8,,1
S,HV,HVAJ,FLAJ.01.157,Arheoloogia teooria,1,,,4,10,1,1,13,,,,,,,,14,,1
S,HV,HVAJ,FLAJ.01.161,Rauaaja arheoloogiline leiuaines Eestis,,,,,9,,,9,,,,,,,,8,,1
S,HV,HVAJ,FLAJ.02.079,Arhivaalide säilitamine,,,,,6,,,5,1,5,1,,,,,,,
S,HV,HVAJ,FLAJ.02.104,Sissejuhatus alkeemiasse,,,,2,7,,,8,1,9,,,,,,,,
S,HV,HVAJ,FLAJ.02.157,Allikaõpetuse praktika: 20. sajandi allikad,,,,,9,,,9,,5,1,2,1,,,,,
S,HV,HVAJ,FLAJ.02.167,Arhiiviteooria,,,,2,4,,,5,1,4,,1,1,,,,,
S,HV,HVAJ,FLAJ.03.009,Eesti ajaloo historiograafia,,,1,2,5,,2,6,,1,2,2,1,1,,,,
S,HV,HVAJ,FLAJ.03.021,Eesti kultuurilugu,1,,1,6,20,1,1,25,1,,,,,,,25,1,2
S,HV,HVAJ,FLAJ.03.033,Eesti sõjaajalugu,,,,2,3,,2,3,,,2,2,,1,,,,
S,HV,HVAJ,FLAJ.03.140,Ajaloo ja ühiskonnaõpetuse didaktika,,,1,1,6,,,8,,3,3,2,,,,,,
S,HV,HVAJ,FLAJ.03.141,Ühiskonnaõpetuse korraldus koolis,,,,,10,,,10,,6,1,2,1,,,,,
